,Period,Time,grid_node,Domestic_electricity,SolarGains
413,7,1,65.0,0.6759948549533120,0.0
414,7,1,67.0,3.736189440000000,0.0
415,7,1,68.0,11.005430201064900,0.0
416,7,1,73.0,0.9261879518072290,0.0
417,7,1,74.0,5.093424000000000,0.0
418,7,1,76.0,5.3180915662650600,0.0
419,7,1,89.0,0.5361349397590360,0.0
420,7,1,97.0,0.7408454400000000,0.0
421,7,1,101.0,0.275277108433735,0.0
422,7,1,102.0,1.3948915662650600,0.0
423,7,1,104.0,0.3808000000000000,0.0
424,7,1,105.0,1.4698612800000000,0.0
425,7,1,107.0,7.686490506024100,0.0
426,7,1,108.0,6.257966265060240,0.0
427,7,1,111.0,3.8301495587700500,0.0
428,7,1,120.0,3.9651394374228500,0.0
429,7,1,127.0,1.7522762400000000,0.0
430,7,1,130.0,6.396915662650600,0.0
431,7,1,134.0,31.904156143701100,0.0
432,7,1,140.0,17.850548005748700,0.0
433,7,1,141.0,2.26833696,0.0
434,7,1,143.0,52.360376068935,0.0
435,7,1,151.0,6.594461862180920,0.0
436,7,1,152.0,8.88234709901856,0.0
437,7,1,154.0,2.5783208898735100,0.0
438,7,1,155.0,7.222961641569120,0.0
439,7,1,157.0,2.7323393318236600,0.0
440,7,1,160.0,4.4810369683081,0.0
441,7,1,168.0,9.744628320286910,0.0
442,7,1,171.0,5.99289465810279,0.0
443,7,1,173.0,17.376492568301000,0.0
444,7,1,192.0,2.4510331759036100,0.0
445,7,1,193.0,6.964554240000000,0.0
446,7,1,195.0,6.229601280000000,0.0
447,7,1,196.0,0.69062544,0.0
448,8,1,1.0,1.2813105314225900,0.0
449,8,1,2.0,0.7555330351807230,0.0
450,8,1,5.0,2.366727710843370,0.0
451,8,1,6.0,1.7237590361445800,0.0
452,8,1,10.0,0.02205216,0.0
453,8,1,11.0,3.4609350862650600,0.0
454,8,1,13.0,0.6436240963855420,0.0
455,8,1,16.0,17.196632413245900,0.0
456,8,1,17.0,0.2849156626506020,0.0
457,8,1,19.0,4.502357428546490,0.0
458,8,1,20.0,2.2951209600000000,0.0
459,8,1,21.0,2.777831325301210,0.0
460,8,1,22.0,9.345946694802880,0.0
461,8,1,23.0,9.294343189382130,0.0
462,8,1,24.0,25.856203975903600,0.0
463,8,1,25.0,1.040809638554220,0.0
464,8,1,26.0,8.029637599036150,0.0
465,8,1,27.0,31.037750985420900,0.0
466,8,1,29.0,4.5870285765765800,0.0
467,8,1,33.0,19.456559718574000,0.0
468,8,1,34.0,8.289312390361450,0.0
469,8,1,35.0,4.374441093975900,0.0
470,8,1,38.0,4.490503737913750,0.0
471,8,1,40.0,1.681156626506020,0.0
472,8,1,41.0,12.038560016240800,0.0
473,8,1,45.0,4.414487244542870,0.0
474,8,1,58.0,1.965106265060240,0.0
475,8,1,59.0,2.197153402409640,0.0
476,8,1,61.0,10.329870642301300,0.0
477,8,1,65.0,0.6759948549533120,0.0
478,8,1,67.0,2.5041254400000000,0.0
479,8,1,68.0,11.005430201064900,0.0
480,8,1,73.0,0.9261879518072290,0.0
481,8,1,74.0,0.7276320000000000,0.0
482,8,1,76.0,5.3180915662650600,0.0
483,8,1,89.0,0.5361349397590360,0.0
484,8,1,97.0,0.7408454400000000,0.0
485,8,1,101.0,0.275277108433735,0.0
486,8,1,102.0,1.3948915662650600,0.0
487,8,1,104.0,0.3808000000000000,0.0
488,8,1,105.0,1.4698612800000000,0.0
489,8,1,107.0,7.686490506024100,0.0
490,8,1,108.0,6.257966265060240,0.0
491,8,1,111.0,3.4144618787700500,0.0
492,8,1,120.0,3.9651394374228500,0.0
493,8,1,127.0,1.7522762400000000,0.0
494,8,1,130.0,6.396915662650600,0.0
